"Medicare Risk Adjustment Model CPT/HCPCS Filtering Included List, Calendar Year (CY) 2015",,
CPT only copyright 2015 American Medical Association.  All rights reserved.,,
HCPCS/CPT Code,2015 Short Description,In CY2015 Included List?
60545,Explore adrenal gland,yes
60600,Remove carotid body lesion,yes
60605,Remove carotid body lesion,yes
60650,Laparoscopy adrenalectomy,yes
60659,Laparo proc endocrine,yes
60699,Endocrine surgery procedure,yes
61000,Remove cranial cavity fluid,yes
61001,Remove cranial cavity fluid,yes
61020,Remove brain cavity fluid,yes
61026,Injection into brain canal,yes
61050,Remove brain canal fluid,yes
61055,Injection into brain canal,yes
61070,Brain canal shunt procedure,yes
61107,Drill skull for implantation,yes
61108,Drill skull for drainage,yes
61140,Pierce skull for biopsy,yes
61150,Pierce skull for drainage,yes
61151,Pierce skull for drainage,yes
61154,Pierce skull & remove clot,yes
61156,Pierce skull for drainage,yes
61210,Pierce skull implant device,yes
61215,Insert brain-fluid device,yes
61250,Pierce skull & explore,yes
61304,Open skull for exploration,yes
61305,Open skull for exploration,yes
61312,Open skull for drainage,yes
61313,Open skull for drainage,yes
61314,Open skull for drainage,yes
61315,Open skull for drainage,yes
61320,Open skull for drainage,yes
61321,Open skull for drainage,yes
61322,Decompressive craniotomy,yes
61323,Decompressive lobectomy,yes
61330,Decompress eye socket,yes
61332,Explore/biopsy eye socket,yes
61333,Explore orbit/remove lesion,yes
61340,Subtemporal decompression,yes
61343,Incise skull (press relief),yes
61345,Relieve cranial pressure,yes
61450,Incise skull for surgery,yes
61458,Incise skull for brain wound,yes
61460,Incise skull for surgery,yes
61480,Incise skull for surgery,yes
61500,Removal of skull lesion,yes
61501,Remove infected skull bone,yes
61510,Removal of brain lesion,yes
61512,Remove brain lining lesion,yes
61514,Removal of brain abscess,yes
61516,Removal of brain lesion,yes
61518,Removal of brain lesion,yes
61519,Remove brain lining lesion,yes
61520,Removal of brain lesion,yes
61521,Removal of brain lesion,yes
61522,Removal of brain abscess,yes
61524,Removal of brain lesion,yes
61526,Removal of brain lesion,yes
61530,Removal of brain lesion,yes
61531,Implant brain electrodes,yes
61533,Implant brain electrodes,yes
61534,Removal of brain lesion,yes
61535,Remove brain electrodes,yes
61536,Removal of brain lesion,yes
61537,Removal of brain tissue,yes
61538,Removal of brain tissue,yes
61539,Removal of brain tissue,yes
61540,Removal of brain tissue,yes
61541,Incision of brain tissue,yes
61543,Removal of brain tissue,yes
61544,Remove & treat brain lesion,yes
61545,Excision of brain tumor,yes
61546,Removal of pituitary gland,yes
61548,Removal of pituitary gland,yes
61550,Release of skull seams,yes
61552,Release of skull seams,yes
61556,Incise skull/sutures,yes
61557,Incise skull/sutures,yes
61558,Excision of skull/sutures,yes
61559,Excision of skull/sutures,yes
61563,Excision of skull tumor,yes
61564,Excision of skull tumor,yes
61566,Removal of brain tissue,yes
61567,Incision of brain tissue,yes
61570,Remove foreign body brain,yes
61571,Incise skull for brain wound,yes
61575,Skull base/brainstem surgery,yes
61576,Skull base/brainstem surgery,yes
61580,Craniofacial approach skull,yes
61581,Craniofacial approach skull,yes
61582,Craniofacial approach skull,yes
61583,Craniofacial approach skull,yes
61584,Orbitocranial approach/skull,yes
61585,Orbitocranial approach/skull,yes
61586,Resect nasopharynx skull,yes
61590,Infratemporal approach/skull,yes
61591,Infratemporal approach/skull,yes
61592,Orbitocranial approach/skull,yes
61595,Transtemporal approach/skull,yes
61596,Transcochlear approach/skull,yes
61597,Transcondylar approach/skull,yes
61598,Transpetrosal approach/skull,yes
61600,Resect/excise cranial lesion,yes
61601,Resect/excise cranial lesion,yes
61605,Resect/excise cranial lesion,yes
61606,Resect/excise cranial lesion,yes
61607,Resect/excise cranial lesion,yes
61608,Resect/excise cranial lesion,yes
61613,Remove aneurysm sinus,yes
61615,Resect/excise lesion skull,yes
61616,Resect/excise lesion skull,yes
61618,Repair dura,yes
61619,Repair dura,yes
61623,Endovasc tempory vessel occl,yes
61624,Transcath occlusion cns,yes
61626,Transcath occlusion non-cns,yes
61630,Intracranial angioplasty,yes
61635,Intracran angioplsty w/stent,yes
61640,Dilate ic vasospasm init,yes
61680,Intracranial vessel surgery,yes
61682,Intracranial vessel surgery,yes
61684,Intracranial vessel surgery,yes
61686,Intracranial vessel surgery,yes
61690,Intracranial vessel surgery,yes
61692,Intracranial vessel surgery,yes
61697,Brain aneurysm repr complx,yes
61698,Brain aneurysm repr complx,yes
61700,Brain aneurysm repr simple,yes
61702,Inner skull vessel surgery,yes
61703,Clamp neck artery,yes
61705,Revise circulation to head,yes
61708,Revise circulation to head,yes
61710,Revise circulation to head,yes
61711,Fusion of skull arteries,yes
61720,Incise skull/brain surgery,yes
61735,Incise skull/brain surgery,yes
61751,Brain biopsy w/ct/mr guide,yes
61760,Implant brain electrodes,yes
61770,Incise skull for treatment,yes
61790,Treat trigeminal nerve,yes
61791,Treat trigeminal tract,yes
61796,Srs cranial lesion simple,yes
61798,Srs cranial lesion complex,yes
61850,Implant neuroelectrodes,yes
61860,Implant neuroelectrodes,yes
61863,Implant neuroelectrode,yes
61867,Implant neuroelectrode,yes
61870,Implant neuroelectrodes,yes
61880,Revise/remove neuroelectrode,yes
61885,Insrt/redo neurostim 1 array,yes
61886,Implant neurostim arrays,yes
61888,Revise/remove neuroreceiver,yes
62000,Treat skull fracture,yes
62005,Treat skull fracture,yes
62010,Treatment of head injury,yes
62100,Repair brain fluid leakage,yes
62115,Reduction of skull defect,yes
62117,Reduction of skull defect,yes
62120,Repair skull cavity lesion,yes
62121,Incise skull repair,yes
62140,Repair of skull defect,yes
62141,Repair of skull defect,yes
62142,Remove skull plate/flap,yes
62143,Replace skull plate/flap,yes
62145,Repair of skull & brain,yes
62146,Repair of skull with graft,yes
62147,Repair of skull with graft,yes
62161,Dissect brain w/scope,yes
62162,Remove colloid cyst w/scope,yes
62163,Zneuroendoscopy w/fb removal,yes
62164,Remove brain tumor w/scope,yes
62165,Remove pituit tumor w/scope,yes
62180,Establish brain cavity shunt,yes
62190,Establish brain cavity shunt,yes
62192,Establish brain cavity shunt,yes
62194,Replace/irrigate catheter,yes
62200,Establish brain cavity shunt,yes
62201,Brain cavity shunt w/scope,yes
62220,Establish brain cavity shunt,yes
62223,Establish brain cavity shunt,yes
62225,Replace/irrigate catheter,yes
62230,Replace/revise brain shunt,yes
62252,Csf shunt reprogram,yes
62256,Remove brain cavity shunt,yes
62258,Replace brain cavity shunt,yes
62263,Epidural lysis mult sessions,yes
62264,Epidural lysis on single day,yes
62268,Drain spinal cord cyst,yes
62272,Drain cerebro spinal fluid,yes
62273,Inject epidural patch,yes
62280,Treat spinal cord lesion,yes
62281,Treat spinal cord lesion,yes
62282,Treat spinal canal lesion,yes
62287,Percutaneous diskectomy,yes
62292,Injection into disk lesion,yes
62294,Injection into spinal artery,yes
62310,Inject spine cerv/thoracic,yes
62311,Inject spine lumbar/sacral,yes
62318,Inject spine w/cath crv/thrc,yes
62319,Inject spine w/cath lmb/scrl,yes
62350,Implant spinal canal cath,yes
62351,Implant spinal canal cath,yes
62355,Remove spinal canal catheter,yes
62360,Insert spine infusion device,yes
62361,Implant spine infusion pump,yes
62362,Implant spine infusion pump,yes
62365,Remove spine infusion device,yes
62367,Analyze spine infus pump,yes
62368,Analyze sp inf pump w/reprog,yes
62369,Anal sp inf pmp w/reprg&fill,yes
62370,Anl sp inf pmp w/mdreprg&fil,yes
63001,Remove spine lamina 1/2 crvl,yes
63003,Remove spine lamina 1/2 thrc,yes
63005,Remove spine lamina 1/2 lmbr,yes
63011,Remove spine lamina 1/2 scrl,yes
63012,Remove lamina/facets lumbar,yes
63015,Remove spine lamina >2 crvcl,yes
63016,Remove spine lamina >2 thrc,yes
63017,Remove spine lamina >2 lmbr,yes
63020,Neck spine disk surgery,yes
63030,Low back disk surgery,yes
63040,Laminotomy single cervical,yes
63042,Laminotomy single lumbar,yes
63045,Remove spine lamina 1 crvl,yes
63046,Remove spine lamina 1 thrc,yes
63047,Remove spine lamina 1 lmbr,yes
63050,Cervical laminoplsty 2/> seg,yes
63051,C-laminoplasty w/graft/plate,yes
63055,Decompress spinal cord thrc,yes
63056,Decompress spinal cord lmbr,yes
63064,Decompress spinal cord thrc,yes
63075,Neck spine disk surgery,yes
63077,Spine disk surgery thorax,yes
63081,Remove vert body dcmprn crvl,yes
63085,Remove vert body dcmprn thrc,yes
63087,Remov vertbr dcmprn thrclmbr,yes
63090,Remove vert body dcmprn lmbr,yes
63101,Remove vert body dcmprn thrc,yes
63102,Remove vert body dcmprn lmbr,yes
63170,Incise spinal cord tract(s),yes
63172,Drainage of spinal cyst,yes
63173,Drainage of spinal cyst,yes
63180,Revise spinal cord ligaments,yes
63182,Revise spinal cord ligaments,yes
63185,Incise spine nrv half segmnt,yes
63190,Incise spine nrv >2 segmnts,yes
63191,Incise spine accessory nerve,yes
63194,Incise spine & cord cervical,yes
63195,Incise spine & cord thoracic,yes
63196,Incise spine&cord 2 trx crvl,yes
63197,Incise spine&cord 2 trx thrc,yes
63198,Incise spin&cord 2 stgs crvl,yes
63199,Incise spin&cord 2 stgs thrc,yes
63200,Release spinal cord lumbar,yes
63250,Revise spinal cord vsls crvl,yes
63251,Revise spinal cord vsls thrc,yes
63252,Revise spine cord vsl thrlmb,yes
63265,Excise intraspinl lesion crv,yes
63266,Excise intrspinl lesion thrc,yes
63267,Excise intrspinl lesion lmbr,yes
63268,Excise intrspinl lesion scrl,yes
63270,Excise intrspinl lesion crvl,yes
63271,Excise intrspinl lesion thrc,yes
63272,Excise intrspinl lesion lmbr,yes
63273,Excise intrspinl lesion scrl,yes
63275,Bx/exc xdrl spine lesn crvl,yes
63276,Bx/exc xdrl spine lesn thrc,yes
63277,Bx/exc xdrl spine lesn lmbr,yes
63278,Bx/exc xdrl spine lesn scrl,yes
63280,Bx/exc idrl spine lesn crvl,yes
63281,Bx/exc idrl spine lesn thrc,yes
63282,Bx/exc idrl spine lesn lmbr,yes
63283,Bx/exc idrl spine lesn scrl,yes
63285,Bx/exc idrl imed lesn cervl,yes
63286,Bx/exc idrl imed lesn thrc,yes
63287,Bx/exc idrl imed lesn thrlmb,yes
63290,Bx/exc xdrl/idrl lsn any lvl,yes
63300,Remove vert xdrl body crvcl,yes
63301,Remove vert xdrl body thrc,yes
63302,Remove vert xdrl body thrlmb,yes
63303,Remov vert xdrl bdy lmbr/sac,yes
63304,Remove vert idrl body crvcl,yes
63305,Remove vert idrl body thrc,yes
63306,Remov vert idrl bdy thrclmbr,yes
63307,Remov vert idrl bdy lmbr/sac,yes
63600,Remove spinal cord lesion,yes
63610,Stimulation of spinal cord,yes
63615,Remove lesion of spinal cord,yes
63620,Srs spinal lesion,yes
63650,Implant neuroelectrodes,yes
63655,Implant neuroelectrodes,yes
63661,Remove spine eltrd perq aray,yes
63662,Remove spine eltrd plate,yes
63663,Revise spine eltrd perq aray,yes
63664,Revise spine eltrd plate,yes
63685,Insrt/redo spine n generator,yes
63688,Revise/remove neuroreceiver,yes
63700,Repair of spinal herniation,yes
63702,Repair of spinal herniation,yes
63704,Repair of spinal herniation,yes
63706,Repair of spinal herniation,yes
63707,Repair spinal fluid leakage,yes
63709,Repair spinal fluid leakage,yes
63710,Graft repair of spine defect,yes
63740,Install spinal shunt,yes
63741,Install spinal shunt,yes
63744,Revision of spinal shunt,yes
63746,Removal of spinal shunt,yes
64400,N block inj trigeminal,yes
64402,N block inj facial,yes
64405,N block inj occipital,yes
64408,N block inj vagus,yes
64410,N block inj phrenic,yes
64412,N block inj spinal accessor,yes
64413,N block inj cervical plexus,yes
64415,N block inj brachial plexus,yes
64416,N block cont infuse b plex,yes
64417,N block inj axillary,yes
64418,N block inj suprascapular,yes
64420,N block inj intercost sng,yes
64421,N block inj intercost mlt,yes
64425,N block inj ilio-ing/hypogi,yes
64430,N block inj pudendal,yes
64435,N block inj paracervical,yes
64445,N block inj sciatic sng,yes
64446,N blk inj sciatic cont inf,yes
64447,N block inj fem single,yes
64448,N block inj fem cont inf,yes
64449,N block inj lumbar plexus,yes
64450,N block other peripheral,yes
64455,N block inj plantar digit,yes
64479,Inj foramen epidural c/t,yes
64483,Inj foramen epidural l/s,yes
64486,Tap block unil by injection,yes
64487,Tap block uni by infusion,yes
64488,Tap block bi injection,yes
64489,Tap block bi by infusion,yes
64490,Inj paravert f jnt c/t 1 lev,yes
64493,Inj paravert f jnt l/s 1 lev,yes
64505,N block spenopalatine gangl,yes
64508,N block carotid sinus s/p,yes
64510,N block stellate ganglion,yes
64517,N block inj hypogas plxs,yes
64520,N block lumbar/thoracic,yes
64530,N block inj celiac pelus,yes
64550,Apply neurostimulator,yes
64553,Implant neuroelectrodes,yes
64555,Implant neuroelectrodes,yes
64561,Implant neuroelectrodes,yes
64565,Implant neuroelectrodes,yes
64566,Neuroeltrd stim post tibial,yes
64568,Inc for vagus n elect impl,yes
64569,Revise/repl vagus n eltrd,yes
64570,Remove vagus n eltrd,yes
64575,Implant neuroelectrodes,yes
64580,Implant neuroelectrodes,yes
64581,Implant neuroelectrodes,yes
64585,Revise/remove neuroelectrode,yes
64590,Insrt/redo pn/gastr stimul,yes
64595,Revise/rmv pn/gastr stimul,yes
64600,Injection treatment of nerve,yes
64605,Injection treatment of nerve,yes
64610,Injection treatment of nerve,yes
64611,Chemodenerv saliv glands,yes
64612,Destroy nerve face muscle,yes
64615,Chemodenerv musc migraine,yes
64616,Chemodenerv musc neck dyston,yes
64617,Chemodener muscle larynx emg,yes
64620,Injection treatment of nerve,yes
64630,Injection treatment of nerve,yes
64632,N block inj common digit,yes
64633,Destroy cerv/thor facet jnt,yes
64635,Destroy lumb/sac facet jnt,yes
64640,Injection treatment of nerve,yes
64642,Chemodenerv 1 extremity 1-4,yes
64644,Chemodenerv 1 extrem 5/> mus,yes
64646,Chemodenerv trunk musc 1-5,yes
64647,Chemodenerv trunk musc 6/>,yes
64650,Chemodenerv eccrine glands,yes
64653,Chemodenerv eccrine glands,yes
64680,Injection treatment of nerve,yes
64681,Injection treatment of nerve,yes
64702,Revise finger/toe nerve,yes
64704,Revise hand/foot nerve,yes
64708,Revise arm/leg nerve,yes
64712,Revision of sciatic nerve,yes
64713,Revision of arm nerve(s),yes
64714,Revise low back nerve(s),yes
64716,Revision of cranial nerve,yes
64718,Revise ulnar nerve at elbow,yes
64719,Revise ulnar nerve at wrist,yes
64721,Carpal tunnel surgery,yes
64722,Relieve pressure on nerve(s),yes
64726,Release foot/toe nerve,yes
64732,Incision of brow nerve,yes
64734,Incision of cheek nerve,yes
64736,Incision of chin nerve,yes
64738,Incision of jaw nerve,yes
64740,Incision of tongue nerve,yes
64742,Incision of facial nerve,yes
64744,Incise nerve back of head,yes
64746,Incise diaphragm nerve,yes
64755,Incision of stomach nerves,yes
64760,Incision of vagus nerve,yes
64763,Incise hip/thigh nerve,yes
64766,Incise hip/thigh nerve,yes
64771,Sever cranial nerve,yes
64772,Incision of spinal nerve,yes
64774,Remove skin nerve lesion,yes
64776,Remove digit nerve lesion,yes
64782,Remove limb nerve lesion,yes
64784,Remove nerve lesion,yes
64786,Remove sciatic nerve lesion,yes
64788,Remove skin nerve lesion,yes
64790,Removal of nerve lesion,yes
64792,Removal of nerve lesion,yes
64802,Sympathectomy cervical,yes
64804,Remove sympathetic nerves,yes
64809,Remove sympathetic nerves,yes
64818,Remove sympathetic nerves,yes
64820,Sympathectomy digital artery,yes
64821,Remove sympathetic nerves,yes
64822,Remove sympathetic nerves,yes
64823,Sympathectomy supfc palmar,yes
64831,Repair of digit nerve,yes
64834,Repair of hand or foot nerve,yes
64835,Repair of hand or foot nerve,yes
64836,Repair of hand or foot nerve,yes
64840,Repair of leg nerve,yes
64856,Repair/transpose nerve,yes
64857,Repair arm/leg nerve,yes
64858,Repair sciatic nerve,yes
64861,Repair of arm nerves,yes
64862,Repair of low back nerves,yes
64864,Repair of facial nerve,yes
64865,Repair of facial nerve,yes
64866,Fusion of facial/other nerve,yes
64868,Fusion of facial/other nerve,yes
64885,Nerve graft head/neck </4 cm,yes
64886,Nerve graft head/neck >4 cm,yes
64890,Nerve graft hand/foot </4 cm,yes
64891,Nerve graft hand/foot >4 cm,yes
64892,Nerve graft arm/leg <4 cm,yes
64893,Nerve graft arm/leg >4 cm,yes
64895,Nerve graft hand/foot </4 cm,yes
64896,Nerve graft hand/foot >4 cm,yes
64897,Nerve graft arm/leg </4 cm,yes
64898,Nerve graft arm/leg >4 cm,yes
64905,Nerve pedicle transfer,yes
64907,Nerve pedicle transfer,yes
64910,Nerve repair w/allograft,yes
64911,Neurorraphy w/vein autograft,yes
64999,Nervous system surgery,yes
65091,Revise eye,yes
65093,Revise eye with implant,yes
65101,Removal of eye,yes
65103,Remove eye/insert implant,yes
65105,Remove eye/attach implant,yes
65110,Removal of eye,yes
65112,Remove eye/revise socket,yes
65114,Remove eye/revise socket,yes
65125,Revise ocular implant,yes
65130,Insert ocular implant,yes
65135,Insert ocular implant,yes
65140,Attach ocular implant,yes
65150,Revise ocular implant,yes
65155,Reinsert ocular implant,yes
65175,Removal of ocular implant,yes
65205,Remove foreign body from eye,yes
65210,Remove foreign body from eye,yes
65220,Remove foreign body from eye,yes
65222,Remove foreign body from eye,yes
65235,Remove foreign body from eye,yes
65260,Remove foreign body from eye,yes
65265,Remove foreign body from eye,yes
65270,Repair of eye wound,yes
65272,Repair of eye wound,yes
65273,Repair of eye wound,yes
65275,Repair of eye wound,yes
65280,Repair of eye wound,yes
65285,Repair of eye wound,yes
65286,Repair of eye wound,yes
65290,Repair of eye socket wound,yes
65400,Removal of eye lesion,yes
65420,Removal of eye lesion,yes
65426,Removal of eye lesion,yes
65430,Corneal smear,yes
65435,Curette/treat cornea,yes
65436,Curette/treat cornea,yes
65450,Treatment of corneal lesion,yes
65600,Revision of cornea,yes
65710,Corneal transplant,yes
65730,Corneal transplant,yes
65750,Corneal transplant,yes
65755,Corneal transplant,yes
65756,Corneal trnspl endothelial,yes
65760,Revision of cornea,yes
65765,Revision of cornea,yes
65767,Corneal tissue transplant,yes
65770,Revise cornea with implant,yes
65771,Radial keratotomy,yes
65772,Correction of astigmatism,yes
65775,Correction of astigmatism,yes
65778,Cover eye w/membrane,yes
65779,Cover eye w/membrane suture,yes
65780,Ocular reconst transplant,yes
65781,Ocular reconst transplant,yes
65782,Ocular reconst transplant,yes
65800,Drainage of eye,yes
65810,Drainage of eye,yes
65815,Drainage of eye,yes
65820,Relieve inner eye pressure,yes
65850,Incision of eye,yes
65855,Laser surgery of eye,yes
65860,Incise inner eye adhesions,yes
65865,Incise inner eye adhesions,yes
65870,Incise inner eye adhesions,yes
65875,Incise inner eye adhesions,yes
65880,Incise inner eye adhesions,yes
65900,Remove eye lesion,yes
65920,Remove implant of eye,yes
65930,Remove blood clot from eye,yes
66020,Injection treatment of eye,yes
66030,Injection treatment of eye,yes
66130,Remove eye lesion,yes
66150,Glaucoma surgery,yes
66155,Glaucoma surgery,yes
66160,Glaucoma surgery,yes
66170,Glaucoma surgery,yes
66172,Incision of eye,yes
66174,Translum dil eye canal,yes
66175,Trnslum dil eye canal w/stnt,yes
66179,Aqueous shunt eye w/o graft,yes
66180,Aqueous shunt eye w/graft,yes
66183,Insert ant drainage device,yes
66184,Revision of aqueous shunt,yes
66185,Revise aqueous shunt eye,yes
66220,Repair eye lesion,yes
66225,Repair/graft eye lesion,yes
66250,Follow-up surgery of eye,yes
66500,Incision of iris,yes
66505,Incision of iris,yes
66600,Remove iris and lesion,yes
66605,Removal of iris,yes
66625,Removal of iris,yes
66630,Removal of iris,yes
66635,Removal of iris,yes
66680,Repair iris & ciliary body,yes
66682,Repair iris & ciliary body,yes
66700,Destruction ciliary body,yes
66710,Ciliary transsleral therapy,yes
66711,Ciliary endoscopic ablation,yes
66720,Destruction ciliary body,yes
66740,Destruction ciliary body,yes
66761,Revision of iris,yes
66762,Revision of iris,yes
66770,Removal of inner eye lesion,yes
66820,Incision secondary cataract,yes
66821,After cataract laser surgery,yes
66825,Reposition intraocular lens,yes
66830,Removal of lens lesion,yes
66840,Removal of lens material,yes
66850,Removal of lens material,yes
66852,Removal of lens material,yes
66920,Extraction of lens,yes
66930,Extraction of lens,yes
66940,Extraction of lens,yes
66982,Cataract surgery complex,yes
66983,Cataract surg w/iol 1 stage,yes
66984,Cataract surg w/iol 1 stage,yes
66985,Insert lens prosthesis,yes
66986,Exchange lens prosthesis,yes
66999,Eye surgery procedure,yes
67005,Partial removal of eye fluid,yes
67010,Partial removal of eye fluid,yes
67015,Release of eye fluid,yes
67025,Replace eye fluid,yes
67027,Implant eye drug system,yes
67028,Injection eye drug,yes
67030,Incise inner eye strands,yes
67031,Laser surgery eye strands,yes
67036,Removal of inner eye fluid,yes
67039,Laser treatment of retina,yes
67040,Laser treatment of retina,yes
67041,Vit for macular pucker,yes
67042,Vit for macular hole,yes
67043,Vit for membrane dissect,yes
67101,Repair detached retina,yes
67105,Repair detached retina,yes
67107,Repair detached retina,yes
67108,Repair detached retina,yes
67110,Repair detached retina,yes
67112,Rerepair detached retina,yes
67113,Repair retinal detach cplx,yes
67115,Release encircling material,yes
67120,Remove eye implant material,yes
67121,Remove eye implant material,yes
67141,Treatment of retina,yes
67145,Treatment of retina,yes
67208,Treatment of retinal lesion,yes
67210,Treatment of retinal lesion,yes
67218,Treatment of retinal lesion,yes
67220,Treatment of choroid lesion,yes
67221,Ocular photodynamic ther,yes
67227,Treatment of retinal lesion,yes
67228,Treatment of retinal lesion,yes
67229,Tr retinal les preterm inf,yes
67250,Reinforce eye wall,yes
67255,Reinforce/graft eye wall,yes
67299,Eye surgery procedure,yes
67311,Revise eye muscle,yes
67312,Revise two eye muscles,yes
67314,Revise eye muscle,yes
67316,Revise two eye muscles,yes
67318,Revise eye muscle(s),yes
67343,Release eye tissue,yes
67345,Destroy nerve of eye muscle,yes
67399,Unlisted px extraocular musc,yes
67400,Explore/biopsy eye socket,yes
67405,Explore/drain eye socket,yes
67412,Explore/treat eye socket,yes
67413,Explore/treat eye socket,yes
67414,Explr/decompress eye socket,yes
67415,Aspiration orbital contents,yes
67420,Explore/treat eye socket,yes
67430,Explore/treat eye socket,yes
67440,Explore/drain eye socket,yes
67445,Explr/decompress eye socket,yes
67450,Explore/biopsy eye socket,yes
67500,Inject/treat eye socket,yes
67505,Inject/treat eye socket,yes
67515,Inject/treat eye socket,yes
67550,Insert eye socket implant,yes
67560,Revise eye socket implant,yes
67570,Decompress optic nerve,yes
67599,Orbit surgery procedure,yes
67700,Drainage of eyelid abscess,yes
67710,Incision of eyelid,yes
67715,Incision of eyelid fold,yes
67800,Remove eyelid lesion,yes
67801,Remove eyelid lesions,yes
67805,Remove eyelid lesions,yes
67808,Remove eyelid lesion(s),yes
67820,Revise eyelashes,yes
67825,Revise eyelashes,yes
67830,Revise eyelashes,yes
67835,Revise eyelashes,yes
67840,Remove eyelid lesion,yes
67850,Treat eyelid lesion,yes
67875,Closure of eyelid by suture,yes
67880,Revision of eyelid,yes
67882,Revision of eyelid,yes
67900,Repair brow defect,yes
67901,Repair eyelid defect,yes
67902,Repair eyelid defect,yes
67903,Repair eyelid defect,yes
67904,Repair eyelid defect,yes
67906,Repair eyelid defect,yes
67908,Repair eyelid defect,yes
67909,Revise eyelid defect,yes
67911,Revise eyelid defect,yes
67912,Correction eyelid w/implant,yes
67914,Repair eyelid defect,yes
67915,Repair eyelid defect,yes
67916,Repair eyelid defect,yes
67917,Repair eyelid defect,yes
67921,Repair eyelid defect,yes
67922,Repair eyelid defect,yes
67923,Repair eyelid defect,yes
67924,Repair eyelid defect,yes
67930,Repair eyelid wound,yes
67935,Repair eyelid wound,yes
67938,Remove eyelid foreign body,yes
67950,Revision of eyelid,yes
67961,Revision of eyelid,yes
67966,Revision of eyelid,yes
67971,Reconstruction of eyelid,yes
67973,Reconstruction of eyelid,yes
67974,Reconstruction of eyelid,yes
67975,Reconstruction of eyelid,yes
67999,Revision of eyelid,yes
68020,Incise/drain eyelid lining,yes
68040,Treatment of eyelid lesions,yes
68110,Remove eyelid lining lesion,yes
68115,Remove eyelid lining lesion,yes
68130,Remove eyelid lining lesion,yes
68135,Remove eyelid lining lesion,yes
68200,Treat eyelid by injection,yes
68320,Revise/graft eyelid lining,yes
68325,Revise/graft eyelid lining,yes
68326,Revise/graft eyelid lining,yes
68328,Revise/graft eyelid lining,yes
68330,Revise eyelid lining,yes
68335,Revise/graft eyelid lining,yes
68340,Separate eyelid adhesions,yes
68360,Revise eyelid lining,yes
68362,Revise eyelid lining,yes
68371,Harvest eye tissue alograft,yes
68399,Eyelid lining surgery,yes
68400,Incise/drain tear gland,yes
68420,Incise/drain tear sac,yes
68440,Incise tear duct opening,yes
68500,Removal of tear gland,yes
68505,Partial removal tear gland,yes
68520,Removal of tear sac,yes
68530,Clearance of tear duct,yes
68540,Remove tear gland lesion,yes
68550,Remove tear gland lesion,yes
68700,Repair tear ducts,yes
68705,Revise tear duct opening,yes
68720,Create tear sac drain,yes
68745,Create tear duct drain,yes
68750,Create tear duct drain,yes
68760,Close tear duct opening,yes
68761,Close tear duct opening,yes
68770,Close tear system fistula,yes
68801,Dilate tear duct opening,yes
68810,Probe nasolacrimal duct,yes
68811,Probe nasolacrimal duct,yes
68815,Probe nasolacrimal duct,yes
68816,Probe nl duct w/balloon,yes
68840,Explore/irrigate tear ducts,yes
68899,Tear duct system surgery,yes
69000,Drain external ear lesion,yes
69005,Drain external ear lesion,yes
69020,Drain outer ear canal lesion,yes
69090,Pierce earlobes,yes
69110,Remove external ear partial,yes
69120,Removal of external ear,yes
69140,Remove ear canal lesion(s),yes
69145,Remove ear canal lesion(s),yes
69150,Extensive ear canal surgery,yes
69155,Extensive ear/neck surgery,yes
69200,Clear outer ear canal,yes
69205,Clear outer ear canal,yes
69210,Remove impacted ear wax uni,yes
69220,Clean out mastoid cavity,yes
69222,Clean out mastoid cavity,yes
69300,Revise external ear,yes
69310,Rebuild outer ear canal,yes
69320,Rebuild outer ear canal,yes
69399,Outer ear surgery procedure,yes
69420,Incision of eardrum,yes
69421,Incision of eardrum,yes
69424,Remove ventilating tube,yes
69433,Create eardrum opening,yes
69436,Create eardrum opening,yes
69440,Exploration of middle ear,yes
69450,Eardrum revision,yes
69501,Mastoidectomy,yes
69502,Mastoidectomy,yes
69505,Remove mastoid structures,yes
69511,Extensive mastoid surgery,yes
69530,Extensive mastoid surgery,yes
69535,Remove part of temporal bone,yes
69540,Remove ear lesion,yes
69550,Remove ear lesion,yes
69552,Remove ear lesion,yes
69554,Remove ear lesion,yes
69601,Mastoid surgery revision,yes
69602,Mastoid surgery revision,yes
69603,Mastoid surgery revision,yes
69604,Mastoid surgery revision,yes
69605,Mastoid surgery revision,yes
69610,Repair of eardrum,yes
69620,Repair of eardrum,yes
69631,Repair eardrum structures,yes
69632,Rebuild eardrum structures,yes
69633,Rebuild eardrum structures,yes
69635,Repair eardrum structures,yes
69636,Rebuild eardrum structures,yes
69637,Rebuild eardrum structures,yes
69641,Revise middle ear & mastoid,yes
69642,Revise middle ear & mastoid,yes
69643,Revise middle ear & mastoid,yes
69644,Revise middle ear & mastoid,yes
69645,Revise middle ear & mastoid,yes
69646,Revise middle ear & mastoid,yes
69650,Release middle ear bone,yes
69660,Revise middle ear bone,yes
69661,Revise middle ear bone,yes
69662,Revise middle ear bone,yes
69666,Repair middle ear structures,yes
69667,Repair middle ear structures,yes
69670,Remove mastoid air cells,yes
69676,Remove middle ear nerve,yes
69700,Close mastoid fistula,yes
69710,Implant/replace hearing aid,yes
69711,Remove/repair hearing aid,yes
69714,Implant temple bone w/stimul,yes
69715,Temple bne implnt w/stimulat,yes
69717,Temple bone implant revision,yes
69718,Revise temple bone implant,yes
69720,Release facial nerve,yes
69725,Release facial nerve,yes
